chrom,IID,phase_N50,group,sex,replicate
chr2,73917,16534,linked-read,male,no
chr8,73917,14292,linked-read,male,no
chrZ,73917,13395,linked-read,male,no
chr2,73920,29245,linked-read,male,no
chr8,73920,22610,linked-read,male,no
chrZ,73920,17133,linked-read,male,no
chr2,73933,1786,short-read,male,no
chr8,73933,1457,short-read,male,no
chrZ,73933,1713,short-read,male,no
chr2,73936,21602,linked-read,male,no
chr8,73936,19003,linked-read,male,no
chrZ,73936,17135,linked-read,male,no
chr2,73937,14430,linked-read,male,no
chr8,73937,13352,linked-read,male,no
chrZ,73937,13350,linked-read,male,no
chr2,73938,18382,linked-read,male,no
chr8,73938,16562,linked-read,male,no
chrZ,73938,14791,linked-read,male,no
chr2,73940,17283,linked-read,male,no
chr8,73940,15736,linked-read,male,no
chrZ,73940,14361,linked-read,male,no
chr2,73942,1327,short-read,male,no
chr8,73942,1119,short-read,male,no
chrZ,73942,1072,short-read,male,no
chr2,73945,16767,linked-read,male,no
chr8,73945,15742,linked-read,male,no
chrZ,73945,14566,linked-read,male,no
chr2,73946,15582,linked-read,male,no
chr8,73946,14348,linked-read,male,no
chrZ,73946,13315,linked-read,male,no
chr2,73948,1468,short-read,female,no
chr8,73948,1237,short-read,female,no
chrZ,73948,870,short-read,female,no
chr2,73953,18595,linked-read,male,no
chr8,73953,16542,linked-read,male,no
chrZ,73953,14124,linked-read,male,no
chr2,73955,26163,linked-read,male,no
chr8,73955,21123,linked-read,male,no
chrZ,73955,17041,linked-read,male,no
chr2,73958,1409,short-read,male,no
chr8,73958,1181,short-read,male,no
chrZ,73958,1114,short-read,male,no
chr2,73959,11174,linked-read,male,yes
chr2,73959,736,short-read,male,yes
chr8,73959,10453,linked-read,male,yes
chr8,73959,651,short-read,male,yes
chrZ,73959,10738,linked-read,male,yes
chrZ,73959,719,short-read,male,yes
chr2,73960,15661,linked-read,male,no
chr8,73960,13961,linked-read,male,no
chrZ,73960,13257,linked-read,male,no
chr2,73966,13470,linked-read,male,no
chr8,73966,11837,linked-read,male,no
chrZ,73966,12057,linked-read,male,no
chr2,73972,15311,linked-read,male,no
chr8,73972,13971,linked-read,male,no
chrZ,73972,13422,linked-read,male,no
chr2,74164,12176,linked-read,male,no
chr8,74164,11946,linked-read,male,no
chrZ,74164,11827,linked-read,male,no
chr2,74165,14812,linked-read,male,no
chr8,74165,14323,linked-read,male,no
chrZ,74165,14510,linked-read,male,no
chr2,74166,11052,linked-read,male,no
chr8,74166,11504,linked-read,male,no
chrZ,74166,10651,linked-read,male,no
chr2,74168,14127,linked-read,female,no
chr8,74168,13301,linked-read,female,no
chrZ,74168,11308,linked-read,female,no
chr2,74171,13031,linked-read,female,no
chr8,74171,12645,linked-read,female,no
chrZ,74171,11069,linked-read,female,no
chr2,AG01,18111,linked-read,female,no
chr8,AG01,17174,linked-read,female,no
chrZ,AG01,12830,linked-read,female,no
chr2,AG02,12041,linked-read,female,no
chr8,AG02,12101,linked-read,female,no
chrZ,AG02,8390,linked-read,female,no
chr2,AG03,11961,linked-read,male,yes
chr2,AG03,1095,short-read,male,yes
chr8,AG03,12578,linked-read,male,yes
chr8,AG03,1023,short-read,male,yes
chrZ,AG03,11393,linked-read,male,yes
chrZ,AG03,875,short-read,male,yes
chr2,AG04,19125,linked-read,female,no
chr8,AG04,19001,linked-read,female,no
chrZ,AG04,13438,linked-read,female,no
chr2,AG05,12242,linked-read,male,no
chr8,AG05,13201,linked-read,male,no
chrZ,AG05,12035,linked-read,male,no
chr2,AG06,15134,linked-read,female,no
chr8,AG06,15664,linked-read,female,no
chrZ,AG06,12370,linked-read,female,no
chr2,AG07,16946,linked-read,female,no
chr8,AG07,16983,linked-read,female,no
chrZ,AG07,13185,linked-read,female,no
chr2,AG08,22868,linked-read,female,no
chr8,AG08,21753,linked-read,female,no
chrZ,AG08,14963,linked-read,female,no
chr2,AG10,20884,linked-read,male,no
chr8,AG10,19425,linked-read,male,no
chrZ,AG10,17602,linked-read,male,no
chr2,AG11,15988,linked-read,female,no
chr8,AG11,15771,linked-read,female,no
chrZ,AG11,11470,linked-read,female,no
chr2,AG12,24150,linked-read,male,no
chr8,AG12,22484,linked-read,male,no
chrZ,AG12,21795,linked-read,male,no
chr2,AG13,28577,linked-read,female,no
chr8,AG13,25385,linked-read,female,no
chrZ,AG13,16825,linked-read,female,no
chr2,AG14,21823,linked-read,female,no
chr8,AG14,21420,linked-read,female,no
chrZ,AG14,15624,linked-read,female,no
chr2,AG15,2995,no_HMW_DNA,female,no
chr8,AG15,3556,no_HMW_DNA,female,no
chrZ,AG15,2574,linked-read,female,no
chr2,AG16,22087,linked-read,male,no
chr8,AG16,21243,linked-read,male,no
chrZ,AG16,19208,linked-read,male,no
chr2,AG17,20712,linked-read,male,no
chr8,AG17,20182,linked-read,male,no
chrZ,AG17,17746,linked-read,male,no
chr2,AG18,21767,linked-read,female,no
chr8,AG18,20884,linked-read,female,no
chrZ,AG18,14691,linked-read,female,no
chr2,AG19,18345,linked-read,male,no
chr8,AG19,18062,linked-read,male,no
chrZ,AG19,17143,linked-read,male,no
chr2,AG20,19737,linked-read,male,no
chr8,AG20,19704,linked-read,male,no
chrZ,AG20,18626,linked-read,male,no
chr2,AG21,20122,linked-read,male,no
chr8,AG21,20093,linked-read,male,no
chrZ,AG21,19289,linked-read,male,no
chr2,AG22,18679,linked-read,male,no
chr8,AG22,18735,linked-read,male,no
chrZ,AG22,17543,linked-read,male,no
chr2,AG23,20338,linked-read,female,no
chr8,AG23,20515,linked-read,female,no
chrZ,AG23,14719,linked-read,female,no
chr2,AG24,12267,linked-read,female,yes
chr2,AG24,697,short-read,female,yes
chr8,AG24,12191,linked-read,female,yes
chr8,AG24,703,short-read,female,yes
chrZ,AG24,8926,linked-read,female,yes
chrZ,AG24,537,short-read,female,yes
chr2,AG25,17819,linked-read,female,no
chr8,AG25,16957,linked-read,female,no
chrZ,AG25,14177,linked-read,female,no
chr2,AG26,18874,linked-read,female,no
chr8,AG26,18733,linked-read,female,no
chrZ,AG26,15024,linked-read,female,no
chr2,AG27,18381,linked-read,female,no
chr8,AG27,17356,linked-read,female,no
chrZ,AG27,13744,linked-read,female,no
chr2,AG28,18273,linked-read,female,no
chr8,AG28,18098,linked-read,female,no
chrZ,AG28,15138,linked-read,female,no
chr2,AG29,25835,linked-read,female,no
chr8,AG29,25052,linked-read,female,no
chrZ,AG29,18006,linked-read,female,no
chr2,AG62,21525,linked-read,male,no
chr8,AG62,21893,linked-read,male,no
chrZ,AG62,17537,linked-read,male,no
chr2,AG63,15831,linked-read,male,yes
chr2,AG63,671,short-read,male,yes
chr8,AG63,15417,linked-read,male,yes
chr8,AG63,648,short-read,male,yes
chrZ,AG63,15192,linked-read,male,yes
chrZ,AG63,677,short-read,male,yes
chr2,AQ03,21619,linked-read,female,no
chr8,AQ03,20339,linked-read,female,no
chrZ,AQ03,10698,linked-read,female,no
chr2,AQ04,17640,linked-read,male,no
chr8,AQ04,16406,linked-read,male,no
chrZ,AQ04,14747,linked-read,male,no
chr2,AQ06,10980,linked-read,female,no
chr8,AQ06,11121,linked-read,female,no
chrZ,AQ06,8201,linked-read,female,no
chr2,AQ07,15119,linked-read,male,no
chr8,AQ07,16168,linked-read,male,no
chrZ,AQ07,14078,linked-read,male,no
chr2,AQ100,24028,linked-read,female,no
chr8,AQ100,21421,linked-read,female,no
chrZ,AQ100,12105,linked-read,female,no
chr2,AQ101,33028,linked-read,male,no
chr8,AQ101,27755,linked-read,male,no
chrZ,AQ101,21172,linked-read,male,no
chr2,AQ102,20476,linked-read,male,no
chr8,AQ102,18628,linked-read,male,no
chrZ,AQ102,17418,linked-read,male,no
chr2,AQ12,553221,linked-read,male,no
chr8,AQ12,256699,linked-read,male,no
chrZ,AQ12,82134,linked-read,male,no
chr2,AQ14,40122,linked-read,female,no
chr8,AQ14,30908,linked-read,female,no
chrZ,AQ14,13222,linked-read,female,no
chr2,AQ15,21709,linked-read,male,no
chr8,AQ15,19271,linked-read,male,no
chrZ,AQ15,17358,linked-read,male,no
chr2,AQ16,15128,linked-read,male,no
chr8,AQ16,14690,linked-read,male,no
chrZ,AQ16,13571,linked-read,male,no
chr2,AQ17,19913,linked-read,male,no
chr8,AQ17,18122,linked-read,male,no
chrZ,AQ17,17051,linked-read,male,no
chr2,AQ20,23933,linked-read,female,no
chr8,AQ20,22982,linked-read,female,no
chrZ,AQ20,15269,linked-read,female,no
chr2,AQ21,22212,linked-read,male,no
chr8,AQ21,22202,linked-read,male,no
chrZ,AQ21,16436,linked-read,male,no
chr2,AQ22,58735,linked-read,male,no
chr8,AQ22,37448,linked-read,male,no
chrZ,AQ22,23692,linked-read,male,no
chr2,AQ24,23717,linked-read,female,no
chr8,AQ24,22170,linked-read,female,no
chrZ,AQ24,15320,linked-read,female,no
chr2,AQ25,27823,linked-read,male,no
chr8,AQ25,26245,linked-read,male,no
chrZ,AQ25,22159,linked-read,male,no
chr2,AQ27,13544,linked-read,male,no
chr8,AQ27,13359,linked-read,male,no
chrZ,AQ27,12867,linked-read,male,no
chr2,AQ29,17683,linked-read,female,no
chr8,AQ29,16649,linked-read,female,no
chrZ,AQ29,12032,linked-read,female,no
chr2,AQ30,14258,linked-read,male,no
chr8,AQ30,14102,linked-read,male,no
chrZ,AQ30,12482,linked-read,male,no
chr2,AQ31,11740,linked-read,female,no
chr8,AQ31,11169,linked-read,female,no
chrZ,AQ31,9154,linked-read,female,no
chr2,AQ32,28663,linked-read,female,no
chr8,AQ32,26083,linked-read,female,no
chrZ,AQ32,16191,linked-read,female,no
chr2,AQ33,36940,linked-read,female,no
chr8,AQ33,29032,linked-read,female,no
chrZ,AQ33,21508,linked-read,female,no
chr2,AQ34,17542,linked-read,male,no
chr8,AQ34,16480,linked-read,male,no
chrZ,AQ34,13836,linked-read,male,no
chr2,AQ35,21715,linked-read,male,no
chr8,AQ35,20620,linked-read,male,no
chrZ,AQ35,18438,linked-read,male,no
chr2,AQ36,43754,linked-read,male,no
chr8,AQ36,30196,linked-read,male,no
chrZ,AQ36,23921,linked-read,male,no
chr2,AQ37,24109,linked-read,male,no
chr8,AQ37,20858,linked-read,male,no
chrZ,AQ37,19678,linked-read,male,no
chr2,AQ38,16805,linked-read,male,no
chr8,AQ38,15378,linked-read,male,no
chrZ,AQ38,14417,linked-read,male,no
chr2,AQ39,20545,linked-read,female,no
chr8,AQ39,18684,linked-read,female,no
chrZ,AQ39,11247,linked-read,female,no
chr2,AQ41,18007,linked-read,female,no
chr8,AQ41,16591,linked-read,female,no
chrZ,AQ41,11253,linked-read,female,no
chr2,AQ42,14956,linked-read,female,no
chr8,AQ42,13501,linked-read,female,no
chrZ,AQ42,9870,linked-read,female,no
chr2,AQ46,23833,linked-read,male,no
chr8,AQ46,20289,linked-read,male,no
chrZ,AQ46,16497,linked-read,male,no
chr2,AQ47,76187,linked-read,male,no
chr8,AQ47,41049,linked-read,male,no
chrZ,AQ47,29445,linked-read,male,no
chr2,AQ48,13935,linked-read,male,no
chr8,AQ48,13023,linked-read,male,no
chrZ,AQ48,12926,linked-read,male,no
chr2,AQ50,18802,linked-read,male,no
chr8,AQ50,17823,linked-read,male,no
chrZ,AQ50,15583,linked-read,male,no
chr2,AQ51,24176,linked-read,male,no
chr8,AQ51,22198,linked-read,male,no
chrZ,AQ51,20015,linked-read,male,no
chr2,AQ53,468221,linked-read,male,no
chr8,AQ53,282915,linked-read,male,no
chrZ,AQ53,74974,linked-read,male,no
chr2,AQ54,18102,linked-read,female,no
chr8,AQ54,16307,linked-read,female,no
chrZ,AQ54,9754,linked-read,female,no
chr2,AQ55,63742,linked-read,male,no
chr8,AQ55,42031,linked-read,male,no
chrZ,AQ55,25928,linked-read,male,no
chr2,AQ56,44214,linked-read,female,no
chr8,AQ56,36372,linked-read,female,no
chrZ,AQ56,20198,linked-read,female,no
chr2,AQ57,219042,linked-read,female,no
chr8,AQ57,107395,linked-read,female,no
chrZ,AQ57,17017,linked-read,female,no
chr2,AQ58,60758,linked-read,male,no
chr8,AQ58,36700,linked-read,male,no
chrZ,AQ58,29434,linked-read,male,no
chr2,AQ59,133917,linked-read,female,no
chr8,AQ59,74051,linked-read,female,no
chrZ,AQ59,17752,linked-read,female,no
chr2,AQ61,394819,linked-read,male,no
chr8,AQ61,147501,linked-read,male,no
chrZ,AQ61,37816,linked-read,male,no
chr2,AQ62,28839,linked-read,female,no
chr8,AQ62,27850,linked-read,female,no
chrZ,AQ62,17184,linked-read,female,no
chr2,AQ63,24169,linked-read,female,no
chr8,AQ63,21568,linked-read,female,no
chrZ,AQ63,12685,linked-read,female,no
chr2,AQ64,25851,linked-read,male,no
chr8,AQ64,24538,linked-read,male,no
chrZ,AQ64,21867,linked-read,male,no
chr2,AQ65,19728,linked-read,female,no
chr8,AQ65,17576,linked-read,female,no
chrZ,AQ65,12101,linked-read,female,no
chr2,AQ66,33089,linked-read,male,no
chr8,AQ66,29972,linked-read,male,no
chrZ,AQ66,24670,linked-read,male,no
chr2,AQ68,321025,linked-read,male,no
chr8,AQ68,154379,linked-read,male,no
chrZ,AQ68,47905,linked-read,male,no
chr2,AQ72,90438,linked-read,male,no
chr8,AQ72,51233,linked-read,male,no
chrZ,AQ72,32065,linked-read,male,no
chr2,AQ76,32891,linked-read,male,no
chr8,AQ76,24955,linked-read,male,no
chrZ,AQ76,20020,linked-read,male,no
chr2,AQ78,322069,linked-read,male,no
chr8,AQ78,140829,linked-read,male,no
chrZ,AQ78,52832,linked-read,male,no
chr2,AQ79,796208,linked-read,male,no
chr8,AQ79,327835,linked-read,male,no
chrZ,AQ79,59786,linked-read,male,no
chr2,AQ80,9021306,linked-read,male,no
chr8,AQ80,19348165,linked-read,male,no
chrZ,AQ80,123963,linked-read,male,no
chr2,AQ84,25345,linked-read,male,no
chr8,AQ84,21635,linked-read,male,no
chrZ,AQ84,19037,linked-read,male,no
chr2,AQ99,1183533,linked-read,female,no
chr8,AQ99,585288,linked-read,female,no
chrZ,AQ99,25024,linked-read,female,no
chr2,BH01,293690,linked-read,male,no
chr8,BH01,125817,linked-read,male,no
chrZ,BH01,52826,linked-read,male,no
chr2,BH02,81149,linked-read,male,no
chr8,BH02,47851,linked-read,male,no
chrZ,BH02,25336,linked-read,male,no
chr2,BH03,44421,linked-read,male,no
chr8,BH03,40172,linked-read,male,no
chrZ,BH03,33587,linked-read,male,no
chr2,BH04,20877,linked-read,male,no
chr8,BH04,18555,linked-read,male,no
chrZ,BH04,16461,linked-read,male,no
chr2,BH05,19595,linked-read,male,no
chr8,BH05,18305,linked-read,male,no
chrZ,BH05,16912,linked-read,male,no
chr2,BH06,19251,linked-read,male,no
chr8,BH06,17825,linked-read,male,no
chrZ,BH06,16519,linked-read,male,no
chr2,BH07,41906,linked-read,male,no
chr8,BH07,27727,linked-read,male,no
chrZ,BH07,22062,linked-read,male,no
chr2,BH08,15424,linked-read,female,no
chr8,BH08,14446,linked-read,female,no
chrZ,BH08,10130,linked-read,female,no
chr2,BH09,52003,linked-read,male,no
chr8,BH09,47466,linked-read,male,no
chrZ,BH09,37232,linked-read,male,no
chr2,BH10,25808,linked-read,unknown,no
chr8,BH10,24292,linked-read,unknown,no
chrZ,BH10,15200,linked-read,unknown,no
chr2,BH11,16372,linked-read,male,no
chr8,BH11,16924,linked-read,male,no
chrZ,BH11,14821,linked-read,male,no
chr2,BH13,103456,linked-read,male,no
chr8,BH13,54910,linked-read,male,no
chrZ,BH13,35484,linked-read,male,no
chr2,BH14,24289,linked-read,female,no
chr8,BH14,21536,linked-read,female,no
chrZ,BH14,13615,linked-read,female,no
chr2,BH15,36831,linked-read,male,no
chr8,BH15,26071,linked-read,male,no
chrZ,BH15,21752,linked-read,male,no
chr2,BH16,90974,linked-read,male,no
chr8,BH16,57740,linked-read,male,no
chrZ,BH16,33119,linked-read,male,no
chr2,BH17,32925,linked-read,female,no
chr8,BH17,31485,linked-read,female,no
chrZ,BH17,16164,linked-read,female,no
chr2,BH18,27880,linked-read,female,no
chr8,BH18,22978,linked-read,female,no
chrZ,BH18,13392,linked-read,female,no
chr2,BH19,28382,linked-read,male,no
chr8,BH19,23863,linked-read,male,no
chrZ,BH19,20815,linked-read,male,no
chr2,BH20,18552,linked-read,female,no
chr8,BH20,17633,linked-read,female,no
chrZ,BH20,12558,linked-read,female,no
chr2,BH21,82566,linked-read,female,no
chr8,BH21,63245,linked-read,female,no
chrZ,BH21,21654,linked-read,female,no
chr2,BH22,83702,linked-read,female,no
chr8,BH22,67585,linked-read,female,no
chrZ,BH22,23103,linked-read,female,no
chr2,BH23,37381,linked-read,male,no
chr8,BH23,28926,linked-read,male,no
chrZ,BH23,22328,linked-read,male,no
chr2,BH25,98473,linked-read,male,no
chr8,BH25,44931,linked-read,male,no
chrZ,BH25,28293,linked-read,male,no
chr2,BH26,101961,linked-read,male,no
chr8,BH26,58366,linked-read,male,no
chrZ,BH26,29731,linked-read,male,no
chr2,BH27,51835,linked-read,male,no
chr8,BH27,34988,linked-read,male,no
chrZ,BH27,23857,linked-read,male,no
chr2,BH28,19773,linked-read,female,no
chr8,BH28,19180,linked-read,female,no
chrZ,BH28,12674,linked-read,female,no
chr2,BH29,17548,linked-read,female,no
chr8,BH29,16929,linked-read,female,no
chrZ,BH29,11585,linked-read,female,no
chr2,BH30,82019,linked-read,female,no
chr8,BH30,55646,linked-read,female,no
chrZ,BH30,18650,linked-read,female,no
chr2,BH31,91356,linked-read,male,no
chr8,BH31,44066,linked-read,male,no
chrZ,BH31,30527,linked-read,male,no
chr2,BH34,17284,linked-read,female,no
chr8,BH34,16138,linked-read,female,no
chrZ,BH34,12423,linked-read,female,no
chr2,BH35,49008,linked-read,male,no
chr8,BH35,33765,linked-read,male,no
chrZ,BH35,23573,linked-read,male,no
chr2,BH36,29558,linked-read,female,no
chr8,BH36,26668,linked-read,female,no
chrZ,BH36,15418,linked-read,female,no
chr2,BH37,93690,linked-read,male,no
chr8,BH37,40943,linked-read,male,no
chrZ,BH37,30048,linked-read,male,no
chr2,BH39,18490,linked-read,male,no
chr8,BH39,17318,linked-read,male,no
chrZ,BH39,15823,linked-read,male,no
chr2,BH41,91805,linked-read,male,no
chr8,BH41,58527,linked-read,male,no
chrZ,BH41,33695,linked-read,male,no
chr2,BH42,68971,linked-read,male,no
chr8,BH42,39439,linked-read,male,no
chrZ,BH42,24583,linked-read,male,no
chr2,BH43,172607,linked-read,male,no
chr8,BH43,79862,linked-read,male,no
chrZ,BH43,45459,linked-read,male,no
chr2,BH44,55861,linked-read,female,no
chr8,BH44,41805,linked-read,female,no
chrZ,BH44,16620,linked-read,female,no
chr2,BH45,126600,linked-read,male,no
chr8,BH45,60562,linked-read,male,no
chrZ,BH45,30960,linked-read,male,no
chr2,BH46,60696,linked-read,male,no
chr8,BH46,42326,linked-read,male,no
chrZ,BH46,26276,linked-read,male,no
chr2,BH48,119342,linked-read,male,no
chr8,BH48,71290,linked-read,male,no
chrZ,BH48,43021,linked-read,male,no
chr2,BH49,27902,linked-read,female,no
chr8,BH49,23789,linked-read,female,no
chrZ,BH49,13307,linked-read,female,no
chr2,BH50,238064,linked-read,male,no
chr8,BH50,103800,linked-read,male,no
chrZ,BH50,38882,linked-read,male,no
chr2,BH51,274375,linked-read,male,no
chr8,BH51,102127,linked-read,male,no
chrZ,BH51,44886,linked-read,male,no
chr2,BH52,35372,linked-read,female,no
chr8,BH52,29353,linked-read,female,no
chrZ,BH52,13369,linked-read,female,no
chr2,BH53,22985,linked-read,male,no
chr8,BH53,19079,linked-read,male,no
chrZ,BH53,18283,linked-read,male,no
chr2,BH55,51104,linked-read,female,no
chr8,BH55,43710,linked-read,female,no
chrZ,BH55,22756,linked-read,female,no
chr2,BH57,23120,linked-read,female,no
chr8,BH57,19959,linked-read,female,no
chrZ,BH57,14190,linked-read,female,no
chr2,BH58,139271,linked-read,male,no
chr8,BH58,67833,linked-read,male,no
chrZ,BH58,31060,linked-read,male,no
chr2,BH59,66254,linked-read,male,no
chr8,BH59,41859,linked-read,male,no
chrZ,BH59,27880,linked-read,male,no
chr2,BH61,93276,linked-read,male,no
chr8,BH61,47541,linked-read,male,no
chrZ,BH61,26847,linked-read,male,no
chr2,BH63,298893,linked-read,male,no
chr8,BH63,150500,linked-read,male,no
chrZ,BH63,58486,linked-read,male,no
chr2,BH64,141894,linked-read,male,no
chr8,BH64,65506,linked-read,male,no
chrZ,BH64,37988,linked-read,male,no
chr2,BH65,219994,linked-read,male,no
chr8,BH65,88608,linked-read,male,no
chrZ,BH65,46508,linked-read,male,no
chr2,BH66,99155,linked-read,male,no
chr8,BH66,48036,linked-read,male,no
chrZ,BH66,29152,linked-read,male,no
chr2,BH67,77033,linked-read,male,no
chr8,BH67,40490,linked-read,male,no
chrZ,BH67,27045,linked-read,male,no
chr2,BH68,29226,linked-read,female,no
chr8,BH68,25633,linked-read,female,no
chrZ,BH68,13624,linked-read,female,no
chr2,BH69,66316,linked-read,male,no
chr8,BH69,40299,linked-read,male,no
chrZ,BH69,27440,linked-read,male,no
chr2,BH76,70046,linked-read,male,no
chr8,BH76,37946,linked-read,male,no
chrZ,BH76,28936,linked-read,male,no
